nom,lat,lon,comarca,altitud,temperatura,temp_max,temp_min,humitat,precipitacio,vent,data
Vinyols i els Arcs - Cambrils,41.08015,1.06661,Baix Camp,30,26.9,27.4,17.3,63.0,0.0,,2026-05-31T11:00:00.000
el Canós,41.68938,1.20383,Segarra,430,29.2,29.2,17.2,36.0,0.0,,2026-05-31T11:00:00.000
el Masroig,41.1223,0.72182,Priorat,143,30.1,30.1,15.7,36.0,0.0,,2026-05-31T11:00:00.000
el Montmell,41.34172,1.48769,Baix Penedès,547,31.3,31.4,17.3,37.0,0.0,,2026-05-31T11:00:00.000
el Perelló,40.87289,0.71577,Baix Ebre,180,31.2,31.2,18.3,45.0,0.0,3.4,2026-05-31T11:00:00.000
el Poal,41.6728,0.87743,Pla d'Urgell,224,28.0,28.0,13.4,49.0,0.0,,2026-05-31T11:00:00.000
el Pont de Suert,42.39809,0.74364,Alta Ribagorça,824,27.3,27.3,11.7,50.0,0.0,2.4,2026-05-31T11:00:00.000
el Port del Comte (2.288 m),42.19084,1.53213,Solsonès,2288,15.6,15.6,9.5,46.0,0.0,1.9,2026-05-31T11:00:00.000
el Prat de Llobregat,41.34054,2.08019,Baix Llobregat,7,28.0,28.0,16.3,54.0,0.0,3.3,2026-05-31T11:00:00.000
el Vendrell,41.21554,1.52117,Baix Penedès,59,29.4,29.4,15.6,50.0,0.0,2.5,2026-05-31T11:00:00.000
els Alamús,41.59514,0.73515,Segrià,231,28.2,28.2,15.0,41.0,0.0,,2026-05-31T11:00:00.000
els Alfacs,40.62725,0.6592,Montsià,1,27.6,27.6,20.8,68.0,0.0,,2026-05-31T11:00:00.000
els Hostalets de Pierola,41.53107,1.80814,Anoia,318,30.2,30.2,18.6,33.0,0.0,2.2,2026-05-31T11:00:00.000
l'Aldea,40.76946,0.61635,Baix Ebre,64,29.7,29.7,18.3,53.0,0.0,,2026-05-31T11:00:00.000
l'Ametlla de Mar,40.9091,0.76943,Baix Ebre,94,29.3,30.9,17.7,48.0,0.0,,2026-05-31T11:00:00.000
l'Espluga de Francolí,41.39242,1.09895,Conca de Barberà,446,30.4,30.4,14.7,35.0,0.0,1.7,2026-05-31T11:00:00.000
la Bisbal d'Empordà,41.97752,3.03551,Baix Empordà,30,30.2,30.2,14.4,48.0,0.0,2.5,2026-05-31T11:00:00.000
la Bisbal del Penedès,41.27151,1.46717,Baix Penedès,185,29.5,29.5,15.1,43.0,0.0,,2026-05-31T11:00:00.000
la Granadella,41.35991,0.66789,Garrigues,507,27.1,27.1,15.0,41.0,0.0,,2026-05-31T11:00:00.000
la Llacuna,41.47785,1.53527,Anoia,585,29.4,29.7,13.1,40.0,0.0,,2026-05-31T11:00:00.000
la Panadella,41.60257,1.4007,Anoia,783,27.4,27.4,16.9,39.0,0.0,2.7,2026-05-31T11:00:00.000
la Pobla de Segur,42.24385,0.96801,Pallars Jussà,508,28.9,28.9,15.1,46.0,0.0,2.0,2026-05-31T11:00:00.000
la Quar,42.08032,1.96244,Berguedà,872,26.5,26.5,15.9,43.0,0.0,1.7,2026-05-31T11:00:00.000
la Seu d'Urgell - Bellestar,42.37083,1.43279,Alt Urgell,849,28.6,28.6,12.5,40.0,0.0,1.7,2026-05-31T11:00:00.000
la Tallada d'Empordà,42.05394,3.06198,Baix Empordà,15,29.8,29.8,14.7,48.0,0.0,,2026-05-31T11:00:00.000
la Tosa d'Alp (2.478 m),42.32213,1.89716,Cerdanya,2478,13.1,13.1,9.0,44.0,,4.1,2026-05-31T11:00:00.000
la Vall d'en Bas,42.14557,2.4545,Garrotxa,461,28.0,28.0,13.5,54.0,0.0,,2026-05-31T11:00:00.000
les Borges Blanques,41.51124,0.8561,Garrigues,283,29.2,29.2,13.6,44.0,0.0,2.9,2026-05-31T11:00:00.000
les Cases d'Alcanar,40.55788,0.52329,Montsià,25,26.6,26.8,18.4,67.0,0.0,,2026-05-31T11:00:00.000
Òdena,41.5864,1.65308,Anoia,333,30.9,30.9,13.1,33.0,0.0,3.3,2026-05-31T11:00:00.000
